countrycode,country,scenar,shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,issp5,voice,ccint,future_gdp,model_gdp,relative_gdp_diff
BOL,Bolivia (Plurinational State of),1,0.367239759,0.311502539,0.631370002,0.036131671,0.013996729,0.023586397,3.706316627,1.69317664,3.637034636,0.152055358,0.132207839,FALSE,0.325407577,0,5553181161,5568276188,0.27%
BRA,Brazil,1,0.218496722,0.253382474,0.766662451,-0.006488046,0.030240276,-0.007847086,3.8365436,1.650045563,1.652821044,0.166937821,0.025492207,FALSE,0.673542377,1,1.71E+11,1.70E+11,0.37%
BTN,Bhutan,1,0.490793628,0.111239508,0.804664916,0.016057473,0.003414468,0.009259966,3.741643092,3.205511591,4.222086232,0.141120214,0.068650687,FALSE,0.669268262,0,510199630.9,447660428.8,12.26%
BWA,Botswana,1,0.121490917,0.280294229,0.496877951,-0.002085535,0.022816006,-0.016308465,4.494560828,1.277714751,4.975946259,0.087741856,0.058215029,FALSE,0.370694188,1,2518517719,2523127990,0.18%
CHN,China,1,0.405471754,0.340197044,0.659063795,0.023351364,0.049535429,0.063346031,3.573220154,4.451128229,2.570839582,0.137445199,0.044515761,FALSE,0.408056767,1,6.57E+11,6.56E+11,0.18%
CIV,Cote d'Ivoire,1,0.281788666,0.253869193,0.614144342,0.033792786,0.041294881,0.048972473,2.340680556,2.300656763,2.173732731,0.011766904,0.114940366,FALSE,0.267853484,0,6082748221,6080662057,0.03%
CMR,Cameroon,1,0.364092358,0.242188877,0.809708993,-0.000293059,0.018184529,0.027330564,3.418819558,3.59440188,2.078881624,0.158833567,0.039971626,FALSE,0.67115477,0,7109119464,7105878966,0.05%
COD,Democratic Republic of the Congo,1,0.35006807,0.142048542,0.703209141,0.014638487,0.028311421,0.025599902,2.017635475,1.931282804,3.520066402,0.172747081,0.041120943,FALSE,0.602439272,0,7202168794,7204400346,0.03%
CPV,Cape Verde,1,0.234094676,0.181563276,0.510040435,0.030277391,0.025836661,0.049889391,1.708675847,2.404487454,4.607773812,0.071131524,0.06594156,FALSE,0.904451799,1,176193569.8,176172068.2,0.01%
CRI,Costa Rica,1,0.050227461,0.286229075,0.758628981,-0.00639494,0.008957192,-0.003518821,4.285420667,2.856636785,3.230792335,0.165956241,0.077884035,FALSE,0.6653411,0,3200701671,3195873861,0.15%
DOM,Dominican Republic,1,0.197555082,0.179730689,0.590408801,0.015662243,0.003114451,-0.025556416,1.996863284,3.813865519,3.033773676,0.097843495,0.150067176,FALSE,0.053626907,0,6014399488,5938938956,1.25%
ECU,Ecuador,1,0.116826347,0.293823485,0.735847703,-0.022264842,-0.023435426,0.011139433,4.216474289,3.584954622,2.332620292,0.013637954,0.040374839,FALSE,0.106717157,0,9630825304,9634649190,0.04%
EGY,Egypt,1,0.21141616,0.261785401,0.597999611,-0.018562302,0.000854646,0.009452207,2.723753555,2.766746917,4.450657939,0.007497564,0.126596558,FALSE,0.247732971,0,67931870900,67826409152,0.16%
ETH,Ethiopia,1,0.630348265,0.233199438,0.744129739,0.010033843,0.031329257,-0.004377487,2.238305577,2.428898416,4.07256691,0.135809049,0.025979218,FALSE,0.827775918,1,20736748396,20768583458,0.15%
GAB,Gabon,1,0.165537862,0.125230666,0.47350548,0.009163206,0.048458814,0.015567457,1.697485354,1.084111796,2.059745574,0.186406633,0.147007426,FALSE,0.972371598,0,461168353,459983916.3,0.26%
GEO,Georgia,1,0.211371474,0.12416734,0.498689529,0.017584441,0.058658943,0.033816433,2.142553091,4.864204295,1.618131926,0.114606249,0.056949047,FALSE,0.376928907,0,1094442059,1091958437,0.23%
GHA,Ghana,1,0.244039164,0.209268396,0.74302752,0.023010963,-0.007112151,-0.004380826,3.445469317,4.594332295,4.237104174,0.020278618,0.081032956,FALSE,0.513231342,1,13925288634,13921279680,0.03%
GIN,Guinea,1,0.35783417,0.106322879,0.756254718,0.048422315,0.047459507,0.024585269,4.035496476,2.798986121,1.549472525,0.155045159,0.044115511,FALSE,0.704112564,0,3349855651,3392866212,1.28%
GMB,Gambia,1,0.618296419,0.118938044,0.546181707,0.011290909,0.040310471,0.017079415,1.844015602,3.34167326,3.240063062,0.079297735,0.054245844,FALSE,0.891746206,0,433235393.2,433154338,0.02%
GTM,Guatemala,1,0.292772336,0.304994645,0.815842192,0.003038187,-0.023098607,0.022737233,1.047421317,2.637236683,3.158973255,0.112812746,0.119879665,FALSE,0.954181989,0,5774628953,5769159973,0.09%
GUY,Guyana,1,0.384977339,0.18880589,0.467836149,-0.007426093,0.029998612,0.015297926,3.88142621,4.967448583,4.188639052,0.00598481,0.03516598,FALSE,0.887039719,0,297881534.8,297880175,0.00%
HND,Honduras,1,0.146749552,0.177582501,0.634395827,0.006032491,0.019705425,0.016993906,2.017635475,1.931282804,3.520066402,0.172747081,0.041120943,FALSE,0.602439272,1,2460055790,2461994882,0.08%
HTI,Haiti,1,0.236396762,0.228722114,0.614935485,-0.003402427,0.014049056,-0.009867648,3.072346598,3.280645789,4.385726858,0.080058509,0.038940734,FALSE,0.288635058,1,1417221016,1415906194,0.09%
HUN,Hungary,1,0.089641511,0.267052016,0.734461948,0.000156614,0.024334736,0.02258963,2.147918735,2.033005978,1.117157146,0.08139472,0.11528155,FALSE,0.365134147,0,5630283707,5627200946,0.05%
IDN,Indonesia,1,0.306999237,0.198168655,0.68758511,0.039399484,0.014224238,0.047023807,1.286694513,2.524659944,3.443494081,0.194445678,0.095533388,FALSE,0.430751621,0,59394182946,59566681184,0.29%
IND,India,1,0.196193906,0.256428859,0.671561077,0.049714112,0.036910456,0.061684719,1.60477022,1.731456724,3.418623998,0.019294841,0.161977165,FALSE,0.807484411,0,2.36E+11,2.36E+11,0.07%
JAM,Jamaica,1,0.261304376,0.299143088,0.493923028,-0.003820895,-0.009037343,-0.020835792,1.159430707,1.911764385,4.052355017,0.191351668,0.13046721,FALSE,0.147759973,1,1051520425,1104734828,5.06%
KEN,Kenya,1,0.437323782,0.116830222,0.73350568,0.003242203,0.031979736,0.010360828,2.076247818,1.706580925,4.749868881,0.047007564,0.09438489,FALSE,0.16564076,0,7894372782,7875458137,0.24%
KGZ,Kyrgyzstan,1,0.437554456,0.120726453,0.641932821,-0.006112518,-0.010726827,-0.01026348,2.112979987,1.985796468,1.983984765,0.142319532,0.02746283,FALSE,0.339481875,0,1765701358,1713786168,2.94%
KHM,Cambodia,1,0.377773189,0.144852855,0.77090756,0.042503641,0.02322394,0.023675613,1.866112624,1.454490666,4.358148122,0.188046587,0.096070276,FALSE,0.590280889,0,3525296679,3522140207,0.09%
LAO,Lao People`s Democratic Republic,1,0.562019558,0.131128733,0.740728906,0.029369539,0.029194719,0.016020688,3.724599653,3.000684478,1.59183425,0.058491623,0.141501157,FALSE,0.048997856,1,1481620970,1481139997,0.03%
LBN,Lebanon,1,0.073740111,0.356370228,0.459595212,-0.000486479,0.000900198,0.011213793,4.004203181,4.289931474,1.461412398,0.19499986,0.167701067,FALSE,0.863940906,0,7085730088,7083518196,0.03%
LBR,Liberia,1,0.214695313,0.172131637,0.834336339,0.0411349,0.040309428,0.048216568,4.273230041,3.430185842,1.146487994,0.06769256,0.122482585,FALSE,0.746729942,0,778741492.2,573317094.5,26.38%
LKA,Sri Lanka,1,0.123097502,0.249182641,0.633369566,0.026521499,-0.003601615,-0.00087029,3.445469317,4.594332295,4.237104174,0.020278618,0.081032956,FALSE,0.513231342,1,9183601816,9211481532,0.30%
MAR,Morocco,1,0.24544537,0.270223218,0.539975883,-0.012070988,0.007345961,0.015943521,2.723753555,2.766746917,4.450657939,0.007497564,0.126596558,FALSE,0.247732971,0,15795763987,15746408490,0.31%
MDA,Republic of Moldova,1,0.35610356,0.152994462,0.757735819,0.051267289,0.003439395,0.031309605,1.460584374,1.604152638,4.541663301,0.177897356,0.021387005,FALSE,0.420977756,1,1957591436,1961644536,0.21%
MDG,Madagascar,1,0.37225148,0.241477038,0.764873752,0.001498527,0.000503614,-0.012158028,1.732569341,2.018216418,4.266983824,0.035093412,0.143154822,FALSE,0.007502687,1,1751529101,1751861122,0.02%
MEX,Mexico,1,0.134877584,0.186033532,0.607228125,-0.023759955,-0.00554261,-0.020785154,4.561512224,1.251759716,4.937826805,0.13534655,0.159547254,FALSE,0.614175502,1,71173396868,71310896947,0.19%
MKD,The former Yugoslav Republic of Macedonia,1,0.087874831,0.194799454,0.477164089,-0.001956963,0.01171597,0.009004452,2.017635475,1.931282804,3.520066402,0.172747081,0.041120943,FALSE,0.602439272,0,1558864957,1560086638,0.08%
MNG,Mongolia,1,0.455036684,0.215598371,0.756267039,0.048747134,0.027757673,0.018275758,2.22329754,4.934050625,1.966944178,0.10122247,0.049063531,FALSE,0.11149659,1,2645996456,2642734410,0.12%
MOZ,Mozambique,1,0.447914239,0.212691333,0.748501132,-0.004955102,0.019946438,-0.019178033,4.494560828,1.277714751,4.975946259,0.087741856,0.058215029,FALSE,0.370694188,0,4707426870,4704761179,0.06%
MRT,Mauritania,1,0.216713148,0.221758556,0.543431293,0.042195147,0.006836055,-0.005481187,1.017499231,4.838845355,1.705460748,0.08518308,0.062623768,FALSE,0.183590527,0,860193392.5,859590139.2,0.07%
MUS,Mauritius,1,0.133993302,0.188852538,0.664794973,0.04752047,-0.000307424,0.027562787,1.460584374,1.604152638,4.541663301,0.177897356,0.021387005,FALSE,0.420977756,1,2233123413,2226061496,0.32%
MWI,Malawi,1,0.704594511,0.149194321,0.840961182,0.001069485,0.028693985,-0.004819705,2.421863855,2.095885691,4.474515941,0.149526156,0.171988017,FALSE,0.875969592,0,1972805055,1967234051,0.28%
NAM,Namibia,1,0.265091009,0.211224208,0.667469693,-0.013744423,0.010433698,0.008688593,2.147918735,2.033005978,1.117157146,0.08139472,0.11528155,FALSE,0.365134147,0,971886243.9,969678936.1,0.23%
NER,Niger,1,0.449750592,0.183653372,0.473694102,0.015640491,0.035739558,0.028083795,4.542996817,3.812081327,4.989220208,0.174102399,0.00720242,FALSE,0.481508358,0,3383669179,3387554193,0.11%
NGA,Nigeria,1,0.237084391,0.46701781,0.658598226,0.000201907,0.013719782,0.038127559,1.663608312,4.003658982,2.953565003,0.082057432,0.193437579,FALSE,0.115155422,1,21227214357,21210631479,0.08%
NIC,Nicaragua,1,0.277964845,0.304726452,0.792783092,-0.00684218,0.006675695,0.031083472,1.663608312,4.003658982,2.953565003,0.082057432,0.193437579,FALSE,0.115155422,0,2715653320,2715121388,0.02%
NPL,Nepal,1,0.353978588,0.191270819,0.825448815,-0.02783728,0.017702548,-0.002589842,1.620801607,2.222605401,3.675815903,0.073880403,0.178567051,FALSE,0.463476494,0,3731202507,3736866201,0.15%
PAK,Pakistan,1,0.200028809,0.241490731,0.598897779,0.005546871,0.002496632,0.009235672,1.209321614,3.698345678,4.517583767,0.092568965,0.199866606,FALSE,0.78816355,1,29391389534,29396605187,0.02%
PAN,Panama,1,0.137411701,0.26362535,0.585774917,0.013758062,-0.010213749,-0.013271054,4.762158117,3.150818999,3.902644539,0.169893477,0.047593325,FALSE,0.635952432,0,4485370501,4478039030,0.16%
PER,Peru,1,0.281561904,0.270646446,0.624067217,0.012781485,0.018917444,0.035694706,3.306918689,1.007767119,4.34115805,0.027002489,0.013648613,FALSE,0.947313298,0,22787764286,22845157981,0.25%
PHL,Philippines,1,0.348190084,0.228153243,0.631829435,0.003325224,-0.00523085,0.013217825,1.942770354,1.629161292,3.761204375,0.025494922,0.00961973,FALSE,0.319734645,1,19090775544,19096374952,0.03%
PNG,Papua New Guinea,1,0.496876577,0.100761932,0.35452983,0.021544803,-0.017748074,0.014172145,4.264580688,2.360006724,4.135215145,0.069612006,0.149341185,FALSE,0.494617829,1,1118703341,1118199615,0.05%
PRY,Paraguay,1,0.169156454,0.208359054,0.82597869,0.020092011,-0.0145148,-0.024360666,3.22678295,2.731281287,2.535126523,0.091033015,0.03128932,FALSE,0.097086782,0,6346654877,6353448051,0.11%
ROU,Romania,1,0.219731275,0.281817609,0.636095008,0.013810025,-0.011332625,0.02274809,2.881949736,4.639009046,1.180696363,0.196144424,0.138396862,FALSE,0.498168706,1,8524763910,8511858801,0.15%
RWA,Rwanda,1,0.486452346,0.15150308,0.674534935,0.018290141,0.018817996,0.004945539,3.429551912,1.580484078,3.962118839,0.070515376,0.185364062,FALSE,0.722018465,0,1960432227,1960857088,0.02%
SEN,Senegal,1,0.118765879,0.119184885,0.61316468,0.008946992,0.019251803,-0.000793902,4.736079395,4.602023538,3.955882791,0.127381024,0.067140247,FALSE,0.774039701,1,2604506662,2604322874,0.01%
SLB,Solomon Islands,1,0.599570744,0.11907403,0.733691394,-0.000676483,0.027916691,0.016708394,1.065158109,4.299658716,3.468014258,0.147529037,0.054890391,FALSE,0.895782628,1,183874735.9,183848006.2,0.01%
SLE,Sierra Leone,1,0.535775245,0.196623645,0.717273234,0.032221628,0.011865953,0.010486531,4.204918488,1.478472835,2.659967478,0.181013958,0.184515486,FALSE,0.061022934,1,1211476571,1204785733,0.55%
SLV,El Salvador,1,0.126657099,0.173573537,0.567750311,-0.000455478,0.024577306,0.004359363,2.101832371,4.157579439,3.256233299,0.139733657,0.020676085,FALSE,0.561629046,0,2307387786,2304052257,0.14%
SRB,Serbia,1,0.211038442,0.151170085,0.513348633,-0.019510727,0.013704468,0.010915553,4.732731491,4.976975616,3.990240837,0.151186499,0.026754862,FALSE,0.5062892,1,3534118772,3525898137,0.23%
STP,Sao Tome and Principe,1,0.246800133,0.165087021,0.634499565,0.043849992,0.002777903,0.035923749,4.967971484,4.775480708,1.288261661,0.107660735,0.006620452,FALSE,0.235285473,0,196986597.7,196997350.4,0.01%
SUR,Suriname,1,0.13456292,0.17733464,0.524833306,0.00853795,0.00409722,0.02814995,1.708675847,2.404487454,4.607773812,0.071131524,0.06594156,FALSE,0.904451799,0,336513456.7,336188884.4,0.10%
SWZ,Swaziland,1,0.2010956,0.176643619,0.110735158,0.012043924,0.005050077,0.017765345,1.797643556,2.492839294,4.202208704,0.014731324,0.111095998,FALSE,0.800302077,1,103610506,125465543.1,21.09%
SYR,Syrian Arab Republic,1,0.233170552,0.285834979,0.715999019,0.008676873,-0.010111657,0.021214833,2.984869155,2.391606442,1.428634604,0.106328641,0.180355561,FALSE,0.86090692,0,10453935446,10443535949,0.10%
TCD,Chad,1,0.489446458,0.155153619,0.624853858,0.027925264,0.027573231,0.055413358,1.123795301,2.609848991,3.793193396,0.029161457,0.181047162,FALSE,0.8367776,1,1482212839,1484703537,0.17%
TGO,Togo,1,0.19910889,0.138602794,0.774556504,0.006206745,0.047626586,-0.000198318,3.168200549,3.175263324,3.131879183,0.012484395,0.014653273,FALSE,0.144367726,0,1025652203,1026200842,0.05%
THA,Thailand,1,0.268545591,0.327818445,0.734724373,0.005691197,-0.001072365,-0.001299229,4.522485672,1.259530877,4.555577628,0.132594601,0.021677822,FALSE,0.611548881,0,34592297450,34524535601,0.20%
TJK,Tajikistan,1,0.569209269,0.100280597,0.584127674,0.004228085,0.029819376,0.027823351,3.480718486,1.773086101,1.196608669,0.152610646,0.091456046,FALSE,0.707825734,0,1949146579,1942057420,0.36%
TKM,Turkmenistan,1,0.22461908,0.146745464,0.63156122,0.020783221,0.031025303,0.050016697,3.923746827,1.497434538,4.088560886,0.14428088,0.072549905,FALSE,0.851903971,1,7102333068,7087247606,0.21%
TLS,Timor-Leste,1,0.711345324,0.103930174,0.602916423,0.029845069,0.045181885,0.015979137,2.32683092,3.270371389,1.342667385,0.182452513,0.103971935,FALSE,0.041164288,1,261001404.6,260854754.2,0.06%
TUN,Tunisia,1,0.129173702,0.293568412,0.497113202,0.026237709,-0.007862092,0.003705194,1.907876623,2.84549485,3.489574281,0.071992226,0.079330709,FALSE,0.350968897,1,7143252134,7119221706,0.34%
TZA,United Republic of Tanzania,1,0.625509696,0.151558587,0.727291669,0.029981745,0.012526803,0.042184009,3.916232107,4.997462986,2.755295518,0.182914247,0.049607784,FALSE,0.599623204,1,15649500271,15602139774,0.30%
UGA,Uganda,1,0.563785063,0.100878111,0.684082567,0.021671399,0.037582455,0.038652732,3.649799944,3.924917035,1.22791782,0.134509616,0.044785191,FALSE,0.441434924,1,7520238491,7511770870,0.11%
UKR,Ukraine,1,0.095463145,0.270244925,0.691541876,0.049284325,0.013925233,0.001607992,1.017499231,4.838845355,1.705460748,0.08518308,0.062623768,FALSE,0.183590527,1,28546922738,28552665187,0.02%
VEN,Venezuela (Bolivarian Republic of),1,0.060630382,0.245250406,0.616212359,0.002277783,0.017491269,-0.012125985,1.59693336,1.14528275,4.871157291,0.001581024,0.087374892,FALSE,0.926432449,0,11291276473,11303919950,0.11%
VNM,Viet Nam,1,0.51317713,0.147405135,0.760572148,0.028639685,0.057232859,0.046024562,1.065158109,4.299658716,3.468014258,0.147529037,0.054890391,FALSE,0.895782628,0,24836569065,24822180678,0.06%
YEM,Yemen,1,0.16991068,0.300275093,0.368194328,-0.018795118,0.006521179,-0.001871166,2.461120588,1.850957379,3.095237189,0.130419112,0.144223368,FALSE,0.940065421,0,4222190672,4215185082,0.17%
ZAF,South Africa,1,0.117563181,0.210572193,0.463666988,-0.000417883,-0.016495311,0.030509723,2.558859739,4.374268702,4.418115223,0.173152626,0.09694004,FALSE,0.080329937,0,25564049218,25611340843,0.18%
ZMB,Zambia,1,0.785568587,0.202412824,0.255762669,0.084331627,0.062196685,0.071786352,3.706316627,1.69317664,3.637034636,0.152055358,0.132207839,FALSE,0.325407577,1,2494241566,2495280572,0.04%
