,country,country_name,wbregion,wbregionname,wbincome,wbincomename,wblending,wbhipc,iiasaregion
85,IDN,Indonesia,EAP,East Asia & Pacific,LMI,Lower middle income,IBRD,,
89,IRN,"Iran, Islamic Rep.",MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
90,IRQ,Iraq,MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
88,IRL,Ireland,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
86,IMY,Isle of Man,YHI,High Income,HIX,High income: nonOECD,..,,ECA
92,ISR,Israel,YHI,High Income,HIO,High income: OECD,..,,MNA
93,ITA,Italy,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
94,JAM,Jamaica,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
96,JPN,Japan,YHI,High Income,HIO,High income: OECD,..,,EAP
95,JOR,Jordan,MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
97,KAZ,Kazakhstan,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
98,KEN,Kenya,SSA,Sub-Saharan Africa,LIC,Low income,IDA,,
101,KIR,Kiribati,EAP,East Asia & Pacific,LMI,Lower middle income,IDA,,
156,PRK,"Korea, Dem. Rep.",EAP,East Asia & Pacific,LIC,Low income,..,,
103,KOR,"Korea, Rep.",YHI,High Income,HIO,High income: OECD,IBRD,,EAP
104,KSV,Kosovo,ECA,Europe & Central Asia,LMI,Lower middle income,IDA,,
105,KWT,Kuwait,YHI,High Income,HIX,High income: nonOECD,..,,MNA
99,KGZ,Kyrgyz Republic,ECA,Europe & Central Asia,LIC,Low income,IDA,,
106,LAO,Lao PDR,EAP,East Asia & Pacific,LMI,Lower middle income,IDA,,
116,LVA,Latvia,YHI,High Income,HIX,High income: nonOECD,..,,ECA
107,LBN,Lebanon,MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
113,LSO,Lesotho,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,,
108,LBR,Liberia,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
109,LBY,Libya,MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
111,LIE,Liechtenstein,YHI,High Income,HIX,High income: nonOECD,..,,ECA
114,LTU,Lithuania,YHI,High Income,HIX,High income: nonOECD,..,,ECA
115,LUX,Luxembourg,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
117,MAC,"Macao SAR, China",YHI,High Income,HIX,High income: nonOECD,..,,EAP
126,MKD,"Macedonia, FYR",ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
122,MDG,Madagascar,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
136,MWI,Malawi,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
137,MYS,Malaysia,EAP,East Asia & Pacific,UMI,Upper middle income,IBRD,,
123,MDV,Maldives,SAS,South Asia,UMI,Upper middle income,IDA,,
127,MLI,Mali,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
128,MLT,Malta,YHI,High Income,HIX,High income: nonOECD,..,EMU,ECA
125,MHL,Marshall Islands,EAP,East Asia & Pacific,UMI,Upper middle income,IDA,,
134,MRT,Mauritania,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
135,MUS,Mauritius,SSA,Sub-Saharan Africa,UMI,Upper middle income,IBRD,,
124,MEX,Mexico,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
65,FSM,"Micronesia, Fed. Sts.",EAP,East Asia & Pacific,LMI,Lower middle income,IDA,,
121,MDA,Moldova,ECA,Europe & Central Asia,LMI,Lower middle income,IDA,,
120,MCO,Monaco,YHI,High Income,HIX,High income: nonOECD,..,,ECA
131,MNG,Mongolia,EAP,East Asia & Pacific,LMI,Lower middle income,Blend,,
130,MNE,Montenegro,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
119,MAR,Morocco,MNA,Middle East & North Africa,LMI,Lower middle income,IBRD,,
133,MOZ,Mozambique,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
129,MMR,Myanmar,EAP,East Asia & Pacific,LIC,Low income,IDA,,
138,NAM,Namibia,SSA,Sub-Saharan Africa,UMI,Upper middle income,IBRD,,
145,NPL,Nepal,SAS,South Asia,LIC,Low income,IDA,,
143,NLD,Netherlands,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
139,NCL,New Caledonia,YHI,High Income,HIX,High income: nonOECD,..,,EAP
146,NZL,New Zealand,YHI,High Income,HIO,High income: OECD,..,,EAP
142,NIC,Nicaragua,LAC,Latin America & Caribbean,LMI,Lower middle income,IDA,HIPC,
140,NER,Niger,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
141,NGA,Nigeria,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,,
132,MNP,Northern Mariana Islands,YHI,High Income,HIX,High income: nonOECD,..,,ECA
144,NOR,Norway,YHI,High Income,HIO,High income: OECD,..,,ECA
147,OMN,Oman,YHI,High Income,HIX,High income: nonOECD,..,,MNA
148,PAK,Pakistan,SAS,South Asia,LMI,Lower middle income,Blend,,
152,PLW,Palau,EAP,East Asia & Pacific,UMI,Upper middle income,IBRD,,
159,PSE,Palestine,MNA,Middle East & North Africa,,,,,
149,PAN,Panama,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
153,PNG,Papua New Guinea,EAP,East Asia & Pacific,LMI,Lower middle income,Blend,,
158,PRY,Paraguay,LAC,Latin America & Caribbean,LMI,Lower middle income,IBRD,,
150,PER,Peru,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
151,PHL,Philippines,EAP,East Asia & Pacific,LMI,Lower middle income,IBRD,,
154,POL,Poland,YHI,High Income,HIO,High income: OECD,IBRD,,ECA
157,PRT,Portugal,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
155,PRI,Puerto Rico,YHI,High Income,HIX,High income: nonOECD,..,,LAC
161,QAT,Qatar,YHI,High Income,HIX,High income: nonOECD,..,,MNA
162,ROM,Romania,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
163,RUS,Russian Federation,YHI,High Income,HIX,High income: nonOECD,IBRD,,ECA
164,RWA,Rwanda,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
209,WSM,Samoa,EAP,East Asia & Pacific,LMI,Lower middle income,IDA,,
172,SMR,San Marino,YHI,High Income,HIX,High income: nonOECD,..,,ECA
176,STP,Sao Tome and Principe,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
165,SAU,Saudi Arabia,YHI,High Income,HIX,High income: nonOECD,..,,MNA
167,SEN,Senegal,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
174,SRB,Serbia,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
183,SYC,Seychelles,SSA,Sub-Saharan Africa,UMI,Upper middle income,IBRD,,
170,SLE,Sierra Leone,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
168,SGP,Singapore,YHI,High Income,HIX,High income: nonOECD,..,,EAP
182,SXM,Sint Maarten (Dutch part),YHI,High Income,HIX,High income: nonOECD,..,,LAC
178,SVK,Slovak Republic,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
179,SVN,Slovenia,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
169,SLB,Solomon Islands,EAP,East Asia & Pacific,LMI,Lower middle income,IDA,,
173,SOM,Somalia,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
211,ZAF,South Africa,SSA,Sub-Saharan Africa,UMI,Upper middle income,IBRD,,
175,SSD,South Sudan,SSA,Sub-Saharan Africa,LIC,Low income,IDA,,
58,ESP,Spain,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
112,LKA,Sri Lanka,SAS,South Asia,LMI,Lower middle income,Blend,,
102,KNA,St. Kitts and Nevis,LAC,Latin America & Caribbean,HIX,High income: nonOECD,IBRD,,
110,LCA,St. Lucia,LAC,Latin America & Caribbean,UMI,Upper middle income,Blend,,
118,MAF,St. Martin (French part),YHI,High Income,HIX,High income: nonOECD,..,,LAC
203,VCT,St. Vincent and the Grenadines,LAC,Latin America & Caribbean,UMI,Upper middle income,Blend,,
166,SDN,Sudan,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
177,SUR,Suriname,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
181,SWZ,Swaziland,SSA,Sub-Saharan Africa,LMI,Lower middle income,IBRD,,
180,SWE,Sweden,YHI,High Income,HIO,High income: OECD,..,,ECA
33,CHE,Switzerland,YHI,High Income,HIO,High income: OECD,..,,ECA
184,SYR,Syrian Arab Republic,MNA,Middle East & North Africa,LMI,Lower middle income,IBRD,,
189,TJK,Tajikistan,ECA,Europe & Central Asia,LIC,Low income,IDA,,
197,TZA,Tanzania,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
188,THA,Thailand,EAP,East Asia & Pacific,UMI,Upper middle income,IBRD,,
191,TMP,Timor-Leste,EAP,East Asia & Pacific,LMI,Lower middle income,Blend,,
187,TGO,Togo,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
192,TON,Tonga,EAP,East Asia & Pacific,UMI,Upper middle income,IDA,,
193,TTO,Trinidad and Tobago,YHI,High Income,HIX,High income: nonOECD,IBRD,,LAC
194,TUN,Tunisia,MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
195,TUR,Turkey,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
190,TKM,Turkmenistan,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
185,TCA,Turks and Caicos Islands,YHI,High Income,HIX,High income: nonOECD,..,,LAC
196,TUV,Tuvalu,EAP,East Asia & Pacific,UMI,Upper middle income,IDA,,
198,UGA,Uganda,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
199,UKR,Ukraine,ECA,Europe & Central Asia,LMI,Lower middle income,IBRD,,
5,ARE,United Arab Emirates,YHI,High Income,HIX,High income: nonOECD,..,,MNA
67,GBR,United Kingdom,YHI,High Income,HIO,High income: OECD,..,,ECA
201,USA,United States,YHI,High Income,HIO,High income: OECD,..,,LAC
200,URY,Uruguay,YHI,High Income,HIX,High income: nonOECD,IBRD,,LAC
202,UZB,Uzbekistan,ECA,Europe & Central Asia,LMI,Lower middle income,Blend,,
207,VUT,Vanuatu,EAP,East Asia & Pacific,LMI,Lower middle income,IDA,,
204,VEN,"Venezuela, RB",LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
206,VNM,Vietnam,EAP,East Asia & Pacific,LMI,Lower middle income,Blend,,
205,VIR,Virgin Islands (U.S.),YHI,High Income,HIX,High income: nonOECD,..,,LAC
208,WBG,West Bank and Gaza,MNA,Middle East & North Africa,LMI,Lower middle income,..,,
210,YEM,"Yemen, Rep.",MNA,Middle East & North Africa,LMI,Lower middle income,IDA,,
213,ZMB,Zambia,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
214,ZWE,Zimbabwe,SSA,Sub-Saharan Africa,LIC,Low income,Blend,,
